============================================================
BUILDING3D CORNER DETECTION - TEST EVALUATION RESULTS
============================================================

AVERAGE METRICS (across all test samples)
------------------------------------------------------------
Number of samples: 52

Average Corner Offset (ACO): 0.040909
Corners Precision (CP):       0.871697
Corners Recall (CR):          0.670251
Corners F1-Score (C-F1):      0.744745

TOTAL STATISTICS
------------------------------------------------------------
True positive corners:  627
Predicted corners:      712
Ground truth corners:   982
Total distance:         25.7196

============================================================
PER-SAMPLE METRICS
============================================================

Sample ID       ACO          CP           CR           C-F1        
------------------------------------------------------------
1               0.040815     0.842105     0.500000     0.627451    
10              0.041766     0.666667     0.666667     0.666667    
100             0.039099     1.000000     0.500000     0.666667    
10000           0.033037     0.933333     0.666667     0.777778    
10001           0.045176     1.000000     0.739130     0.850000    
10004           0.044237     0.705882     0.666667     0.685714    
10005           0.043777     0.800000     0.315789     0.452830    
10006           0.041958     0.947368     0.666667     0.782609    
10007           0.043306     0.950000     0.527778     0.678571    
10008           0.046860     0.857143     0.750000     0.800000    
10011           0.034244     0.933333     0.608696     0.736842    
10012           0.030572     1.000000     1.000000     1.000000    
10015           0.032871     1.000000     0.857143     0.923077    
10016           0.048602     0.714286     0.416667     0.526316    
10017           0.030806     0.875000     0.736842     0.800000    
10019           0.030244     0.666667     0.666667     0.666667    
10021           0.040011     1.000000     0.730769     0.844444    
10022           0.033205     0.875000     0.875000     0.875000    
10023           0.040570     0.900000     0.450000     0.600000    
10024           0.065420     0.666667     0.500000     0.571429    
10025           0.039556     1.000000     1.000000     1.000000    
10026           0.044172     0.937500     0.937500     0.937500    
10027           0.046055     1.000000     0.388889     0.560000    
10028           0.050448     0.700000     0.875000     0.777778    
10029           0.044391     0.888889     1.000000     0.941176    
1003            0.045138     0.875000     0.700000     0.777778    
10030           0.037079     0.875000     0.875000     0.875000    
10031           0.037808     1.000000     0.642857     0.782609    
10033           0.036176     0.923077     0.631579     0.750000    
10035           0.041357     1.000000     0.764706     0.866667    
10037           0.045561     0.944444     0.680000     0.790698    
10038           0.053941     0.944444     0.708333     0.809524    
1004            0.027488     0.571429     0.800000     0.666667    
10040           0.028829     0.333333     0.250000     0.285714    
10041           0.035942     1.000000     0.538462     0.700000    
10042           0.035348     0.947368     0.818182     0.878049    
10043           0.051105     0.875000     0.777778     0.823529    
10044           0.041313     1.000000     0.708333     0.829268    
10045           0.047092     0.733333     0.647059     0.687500    
10047           0.043134     0.923077     0.500000     0.648649    
10051           0.042205     0.944444     0.850000     0.894737    
10052           0.040416     1.000000     0.833333     0.909091    
10053           0.038766     0.714286     0.769231     0.740741    
10056           0.038736     0.785714     0.785714     0.785714    
10057           0.038214     0.812500     0.500000     0.619048    
10058           0.038408     0.777778     0.583333     0.666667    
10059           0.041491     0.937500     0.535714     0.681818    
1006            0.051655     0.900000     0.562500     0.692308    
10060           0.052135     0.882353     0.468750     0.612245    
10061           0.038410     0.916667     0.407407     0.564103    
10062           0.034684     0.928571     0.722222     0.812500    
10063           0.033655     0.923077     0.750000     0.827586    

============================================================
