Calculated input_dim: 8
  - XYZ: 3
  - Color (RGBA): 4
  - Intensity: 1
  - Group IDs: 0
  - Border weights: 0
Using 8 input channels for PointNet2 model
    CornerNet init: total_channels=8, feature_channels=5, border_attention=False, sampling=FPS
Loading checkpoint from: output/checkpoint_epoch_150.pth
Model state loaded from checkpoint.
Optimizer state loaded from checkpoint.
Resuming training from epoch 151 (checkpoint saved at epoch 150).
Checkpoint input_channels: 8
Starting training on cuda
Model input channels: 8
Training samples: 5677
Epoch 151, Batch 0, Total Loss: 0.0047, Focal: 0.0014, Distance: 0.0033, Corners: 733/102400 (0.007)
Epoch 151, Batch 10, Total Loss: 0.0061, Focal: 0.0018, Distance: 0.0043, Corners: 1029/102400 (0.010)
Epoch 151, Batch 20, Total Loss: 0.0059, Focal: 0.0017, Distance: 0.0041, Corners: 971/102400 (0.009)
Epoch 151, Batch 30, Total Loss: 0.0044, Focal: 0.0013, Distance: 0.0030, Corners: 682/102400 (0.007)
Epoch 151, Batch 40, Total Loss: 0.0030, Focal: 0.0009, Distance: 0.0021, Corners: 517/102400 (0.005)
Epoch 151, Batch 50, Total Loss: 0.0042, Focal: 0.0013, Distance: 0.0029, Corners: 603/102400 (0.006)
Epoch 151, Batch 60, Total Loss: 0.0041, Focal: 0.0012, Distance: 0.0028, Corners: 672/102400 (0.007)
Epoch 151, Batch 70, Total Loss: 0.0048, Focal: 0.0015, Distance: 0.0034, Corners: 810/102400 (0.008)
Epoch 151, Batch 80, Total Loss: 0.0044, Focal: 0.0013, Distance: 0.0031, Corners: 780/102400 (0.008)
Epoch 151, Batch 90, Total Loss: 0.0040, Focal: 0.0012, Distance: 0.0028, Corners: 624/102400 (0.006)
Epoch 151, Batch 100, Total Loss: 0.0036, Focal: 0.0011, Distance: 0.0025, Corners: 581/102400 (0.006)
Epoch 151, Batch 110, Total Loss: 0.0035, Focal: 0.0011, Distance: 0.0024, Corners: 522/102400 (0.005)
Epoch 151, Batch 120, Total Loss: 0.0036, Focal: 0.0011, Distance: 0.0025, Corners: 488/102400 (0.005)
Epoch 151, Batch 130, Total Loss: 0.0033, Focal: 0.0010, Distance: 0.0023, Corners: 537/102400 (0.005)
Epoch 151, Batch 140, Total Loss: 0.0043, Focal: 0.0013, Distance: 0.0030, Corners: 763/102400 (0.007)
Epoch 151 completed. Average Loss: 0.0043, Time: 62.00s, Total: 62.00s (1.03min)
Epoch 152, Batch 0, Total Loss: 0.0040, Focal: 0.0012, Distance: 0.0028, Corners: 640/102400 (0.006)
Epoch 152, Batch 10, Total Loss: 0.0054, Focal: 0.0016, Distance: 0.0038, Corners: 896/102400 (0.009)
Epoch 152, Batch 20, Total Loss: 0.0031, Focal: 0.0010, Distance: 0.0021, Corners: 511/102400 (0.005)
Epoch 152, Batch 30, Total Loss: 0.0033, Focal: 0.0010, Distance: 0.0023, Corners: 560/102400 (0.005)
Epoch 152, Batch 40, Total Loss: 0.0032, Focal: 0.0010, Distance: 0.0022, Corners: 481/102400 (0.005)
Epoch 152, Batch 50, Total Loss: 0.0050, Focal: 0.0015, Distance: 0.0035, Corners: 817/102400 (0.008)
Epoch 152, Batch 60, Total Loss: 0.0054, Focal: 0.0016, Distance: 0.0038, Corners: 797/102400 (0.008)
Epoch 152, Batch 70, Total Loss: 0.0050, Focal: 0.0015, Distance: 0.0035, Corners: 709/102400 (0.007)
Epoch 152, Batch 80, Total Loss: 0.0044, Focal: 0.0013, Distance: 0.0031, Corners: 733/102400 (0.007)
Epoch 152, Batch 90, Total Loss: 0.0041, Focal: 0.0012, Distance: 0.0028, Corners: 678/102400 (0.007)
Epoch 152, Batch 100, Total Loss: 0.0039, Focal: 0.0012, Distance: 0.0027, Corners: 658/102400 (0.006)
Epoch 152, Batch 110, Total Loss: 0.0041, Focal: 0.0012, Distance: 0.0028, Corners: 671/102400 (0.007)
Epoch 152, Batch 120, Total Loss: 0.0049, Focal: 0.0015, Distance: 0.0034, Corners: 810/102400 (0.008)
Epoch 152, Batch 130, Total Loss: 0.0038, Focal: 0.0012, Distance: 0.0027, Corners: 564/102400 (0.006)
Epoch 152, Batch 140, Total Loss: 0.0038, Focal: 0.0012, Distance: 0.0026, Corners: 642/102400 (0.006)
Epoch 152 completed. Average Loss: 0.0043, Time: 61.71s, Total: 123.71s (2.06min)
Epoch 153, Batch 0, Total Loss: 0.0053, Focal: 0.0016, Distance: 0.0037, Corners: 809/102400 (0.008)
Epoch 153, Batch 10, Total Loss: 0.0043, Focal: 0.0013, Distance: 0.0030, Corners: 694/102400 (0.007)
Epoch 153, Batch 20, Total Loss: 0.0042, Focal: 0.0013, Distance: 0.0029, Corners: 717/102400 (0.007)
Epoch 153, Batch 30, Total Loss: 0.0043, Focal: 0.0013, Distance: 0.0030, Corners: 742/102400 (0.007)
Epoch 153, Batch 40, Total Loss: 0.0038, Focal: 0.0012, Distance: 0.0027, Corners: 618/102400 (0.006)
Epoch 153, Batch 50, Total Loss: 0.0041, Focal: 0.0013, Distance: 0.0028, Corners: 670/102400 (0.007)
Epoch 153, Batch 60, Total Loss: 0.0032, Focal: 0.0010, Distance: 0.0022, Corners: 563/102400 (0.005)
Epoch 153, Batch 70, Total Loss: 0.0045, Focal: 0.0014, Distance: 0.0032, Corners: 780/102400 (0.008)
Epoch 153, Batch 80, Total Loss: 0.0041, Focal: 0.0013, Distance: 0.0028, Corners: 601/102400 (0.006)
Epoch 153, Batch 90, Total Loss: 0.0049, Focal: 0.0015, Distance: 0.0034, Corners: 803/102400 (0.008)
Epoch 153, Batch 100, Total Loss: 0.0040, Focal: 0.0012, Distance: 0.0028, Corners: 618/102400 (0.006)
Epoch 153, Batch 110, Total Loss: 0.0039, Focal: 0.0012, Distance: 0.0027, Corners: 642/102400 (0.006)
Epoch 153, Batch 120, Total Loss: 0.0035, Focal: 0.0011, Distance: 0.0025, Corners: 579/102400 (0.006)
Epoch 153, Batch 130, Total Loss: 0.0037, Focal: 0.0012, Distance: 0.0026, Corners: 606/102400 (0.006)
Epoch 153, Batch 140, Total Loss: 0.0050, Focal: 0.0015, Distance: 0.0035, Corners: 771/102400 (0.008)
Epoch 153 completed. Average Loss: 0.0043, Time: 61.63s, Total: 185.34s (3.09min)
Epoch 154, Batch 0, Total Loss: 0.0043, Focal: 0.0013, Distance: 0.0030, Corners: 695/102400 (0.007)
Epoch 154, Batch 10, Total Loss: 0.0038, Focal: 0.0012, Distance: 0.0026, Corners: 574/102400 (0.006)
Epoch 154, Batch 20, Total Loss: 0.0051, Focal: 0.0015, Distance: 0.0035, Corners: 838/102400 (0.008)
Epoch 154, Batch 30, Total Loss: 0.0045, Focal: 0.0014, Distance: 0.0031, Corners: 762/102400 (0.007)
Epoch 154, Batch 40, Total Loss: 0.0053, Focal: 0.0016, Distance: 0.0037, Corners: 880/102400 (0.009)
Epoch 154, Batch 50, Total Loss: 0.0052, Focal: 0.0015, Distance: 0.0036, Corners: 847/102400 (0.008)
Epoch 154, Batch 60, Total Loss: 0.0060, Focal: 0.0018, Distance: 0.0042, Corners: 997/102400 (0.010)
Epoch 154, Batch 70, Total Loss: 0.0066, Focal: 0.0020, Distance: 0.0046, Corners: 1099/102400 (0.011)
Epoch 154, Batch 80, Total Loss: 0.0052, Focal: 0.0016, Distance: 0.0036, Corners: 961/102400 (0.009)
Epoch 154, Batch 90, Total Loss: 0.0041, Focal: 0.0012, Distance: 0.0028, Corners: 634/102400 (0.006)
Epoch 154, Batch 100, Total Loss: 0.0040, Focal: 0.0012, Distance: 0.0028, Corners: 665/102400 (0.006)
Epoch 154, Batch 110, Total Loss: 0.0049, Focal: 0.0015, Distance: 0.0035, Corners: 826/102400 (0.008)
Epoch 154, Batch 120, Total Loss: 0.0036, Focal: 0.0011, Distance: 0.0025, Corners: 573/102400 (0.006)
Epoch 154, Batch 130, Total Loss: 0.0046, Focal: 0.0014, Distance: 0.0032, Corners: 717/102400 (0.007)
Epoch 154, Batch 140, Total Loss: 0.0043, Focal: 0.0013, Distance: 0.0030, Corners: 686/102400 (0.007)
Epoch 154 completed. Average Loss: 0.0043, Time: 61.58s, Total: 246.92s (4.12min)
Epoch 155, Batch 0, Total Loss: 0.0046, Focal: 0.0014, Distance: 0.0032, Corners: 734/102400 (0.007)
Epoch 155, Batch 10, Total Loss: 0.0041, Focal: 0.0013, Distance: 0.0029, Corners: 636/102400 (0.006)
Epoch 155, Batch 20, Total Loss: 0.0042, Focal: 0.0013, Distance: 0.0029, Corners: 724/102400 (0.007)
Epoch 155, Batch 30, Total Loss: 0.0036, Focal: 0.0011, Distance: 0.0025, Corners: 526/102400 (0.005)
Epoch 155, Batch 40, Total Loss: 0.0048, Focal: 0.0014, Distance: 0.0033, Corners: 836/102400 (0.008)
Epoch 155, Batch 50, Total Loss: 0.0050, Focal: 0.0015, Distance: 0.0035, Corners: 755/102400 (0.007)
Epoch 155, Batch 60, Total Loss: 0.0047, Focal: 0.0014, Distance: 0.0032, Corners: 753/102400 (0.007)
