Calculated input_dim: 8
  - XYZ: 3
  - Color (RGBA): 4
  - Intensity: 1
  - Group IDs: 0
  - Border weights: 0
Using 8 input channels for PointNet2 model
    CornerNet init: total_channels=8, feature_channels=5, border_attention=False, sampling=FPS
Loading checkpoint from: output/checkpoint_epoch_210.pth
Model state loaded from checkpoint.
Optimizer state loaded from checkpoint.
Resuming training from epoch 211 (checkpoint saved at epoch 210).
Checkpoint input_channels: 8
Starting training on cuda
Model input channels: 8
Training samples: 5677
Epoch 211, Batch 0, Total Loss: 0.0038, Focal: 0.0011, Distance: 0.0026, Corners: 604/102400 (0.006)
Epoch 211, Batch 10, Total Loss: 0.0044, Focal: 0.0013, Distance: 0.0031, Corners: 697/102400 (0.007)
Epoch 211, Batch 20, Total Loss: 0.0043, Focal: 0.0013, Distance: 0.0030, Corners: 708/102400 (0.007)
Epoch 211, Batch 30, Total Loss: 0.0040, Focal: 0.0012, Distance: 0.0028, Corners: 637/102400 (0.006)
Epoch 211, Batch 40, Total Loss: 0.0039, Focal: 0.0012, Distance: 0.0027, Corners: 628/102400 (0.006)
Epoch 211, Batch 50, Total Loss: 0.0038, Focal: 0.0012, Distance: 0.0026, Corners: 557/102400 (0.005)
Epoch 211, Batch 60, Total Loss: 0.0048, Focal: 0.0014, Distance: 0.0034, Corners: 791/102400 (0.008)
Epoch 211, Batch 70, Total Loss: 0.0052, Focal: 0.0016, Distance: 0.0036, Corners: 858/102400 (0.008)
Epoch 211, Batch 80, Total Loss: 0.0051, Focal: 0.0015, Distance: 0.0036, Corners: 826/102400 (0.008)
Epoch 211, Batch 90, Total Loss: 0.0030, Focal: 0.0009, Distance: 0.0020, Corners: 448/102400 (0.004)
Epoch 211, Batch 100, Total Loss: 0.0030, Focal: 0.0009, Distance: 0.0021, Corners: 459/102400 (0.004)
Epoch 211, Batch 110, Total Loss: 0.0037, Focal: 0.0011, Distance: 0.0026, Corners: 623/102400 (0.006)
Epoch 211, Batch 120, Total Loss: 0.0043, Focal: 0.0013, Distance: 0.0030, Corners: 678/102400 (0.007)
Epoch 211, Batch 130, Total Loss: 0.0048, Focal: 0.0014, Distance: 0.0033, Corners: 796/102400 (0.008)
Epoch 211, Batch 140, Total Loss: 0.0040, Focal: 0.0012, Distance: 0.0028, Corners: 660/102400 (0.006)
Epoch 211 completed. Average Loss: 0.0043, Time: 62.09s, Total: 62.09s (1.03min)
Epoch 212, Batch 0, Total Loss: 0.0040, Focal: 0.0012, Distance: 0.0028, Corners: 652/102400 (0.006)
Epoch 212, Batch 10, Total Loss: 0.0041, Focal: 0.0013, Distance: 0.0029, Corners: 631/102400 (0.006)
Epoch 212, Batch 20, Total Loss: 0.0031, Focal: 0.0010, Distance: 0.0021, Corners: 469/102400 (0.005)
Epoch 212, Batch 30, Total Loss: 0.0041, Focal: 0.0013, Distance: 0.0028, Corners: 667/102400 (0.007)
Epoch 212, Batch 40, Total Loss: 0.0042, Focal: 0.0013, Distance: 0.0030, Corners: 661/102400 (0.006)
Epoch 212, Batch 50, Total Loss: 0.0039, Focal: 0.0012, Distance: 0.0027, Corners: 637/102400 (0.006)
Epoch 212, Batch 60, Total Loss: 0.0039, Focal: 0.0012, Distance: 0.0027, Corners: 633/102400 (0.006)
Epoch 212, Batch 70, Total Loss: 0.0041, Focal: 0.0012, Distance: 0.0028, Corners: 640/102400 (0.006)
Epoch 212, Batch 80, Total Loss: 0.0053, Focal: 0.0016, Distance: 0.0038, Corners: 887/102400 (0.009)
Epoch 212, Batch 90, Total Loss: 0.0038, Focal: 0.0012, Distance: 0.0026, Corners: 634/102400 (0.006)
Epoch 212, Batch 100, Total Loss: 0.0049, Focal: 0.0015, Distance: 0.0034, Corners: 775/102400 (0.008)
Epoch 212, Batch 110, Total Loss: 0.0055, Focal: 0.0017, Distance: 0.0039, Corners: 872/102400 (0.009)
Epoch 212, Batch 120, Total Loss: 0.0033, Focal: 0.0010, Distance: 0.0023, Corners: 538/102400 (0.005)
Epoch 212, Batch 130, Total Loss: 0.0046, Focal: 0.0014, Distance: 0.0032, Corners: 702/102400 (0.007)
Epoch 212, Batch 140, Total Loss: 0.0038, Focal: 0.0011, Distance: 0.0026, Corners: 640/102400 (0.006)
Epoch 212 completed. Average Loss: 0.0043, Time: 61.78s, Total: 123.88s (2.06min)
Epoch 213, Batch 0, Total Loss: 0.0041, Focal: 0.0012, Distance: 0.0028, Corners: 642/102400 (0.006)
Epoch 213, Batch 10, Total Loss: 0.0052, Focal: 0.0016, Distance: 0.0036, Corners: 898/102400 (0.009)
Epoch 213, Batch 20, Total Loss: 0.0036, Focal: 0.0011, Distance: 0.0025, Corners: 585/102400 (0.006)
Epoch 213, Batch 30, Total Loss: 0.0040, Focal: 0.0012, Distance: 0.0028, Corners: 594/102400 (0.006)
Epoch 213, Batch 40, Total Loss: 0.0029, Focal: 0.0009, Distance: 0.0020, Corners: 486/102400 (0.005)
Epoch 213, Batch 50, Total Loss: 0.0029, Focal: 0.0009, Distance: 0.0020, Corners: 489/102400 (0.005)
Epoch 213, Batch 60, Total Loss: 0.0046, Focal: 0.0014, Distance: 0.0032, Corners: 676/102400 (0.007)
Epoch 213, Batch 70, Total Loss: 0.0041, Focal: 0.0013, Distance: 0.0028, Corners: 600/102400 (0.006)
Epoch 213, Batch 80, Total Loss: 0.0068, Focal: 0.0020, Distance: 0.0048, Corners: 997/102400 (0.010)
Epoch 213, Batch 90, Total Loss: 0.0036, Focal: 0.0011, Distance: 0.0025, Corners: 558/102400 (0.005)
Epoch 213, Batch 100, Total Loss: 0.0053, Focal: 0.0016, Distance: 0.0037, Corners: 784/102400 (0.008)
Epoch 213, Batch 110, Total Loss: 0.0041, Focal: 0.0013, Distance: 0.0029, Corners: 695/102400 (0.007)
Epoch 213, Batch 120, Total Loss: 0.0036, Focal: 0.0011, Distance: 0.0025, Corners: 575/102400 (0.006)
Epoch 213, Batch 130, Total Loss: 0.0023, Focal: 0.0007, Distance: 0.0015, Corners: 363/102400 (0.004)
Epoch 213, Batch 140, Total Loss: 0.0041, Focal: 0.0012, Distance: 0.0028, Corners: 666/102400 (0.007)
Epoch 213 completed. Average Loss: 0.0043, Time: 61.76s, Total: 185.64s (3.09min)
Epoch 214, Batch 0, Total Loss: 0.0040, Focal: 0.0012, Distance: 0.0028, Corners: 694/102400 (0.007)
Epoch 214, Batch 10, Total Loss: 0.0048, Focal: 0.0015, Distance: 0.0034, Corners: 802/102400 (0.008)
Epoch 214, Batch 20, Total Loss: 0.0041, Focal: 0.0013, Distance: 0.0029, Corners: 670/102400 (0.007)
Epoch 214, Batch 30, Total Loss: 0.0028, Focal: 0.0009, Distance: 0.0019, Corners: 460/102400 (0.004)
